Fungi,Function,Plant,Module,Connection,RootSample
OTU97_755,Unknown,Abelia_serrata,5,1,1
OTU97_809,Unknown,Abelia_serrata,5,1,1
OTU97_2271,Unknown,Abelia_serrata,5,1,1
OTU97_503,EcM,Abelia_serrata,5,1,1
OTU97_359,Unknown,Acer_palmatum,7,1,1
OTU97_939,EcM,Acer_palmatum,7,1,1
OTU97_1983,Unknown,Acer_palmatum,7,1,1
OTU97_2115,Unknown,Acer_palmatum,7,1,1
OTU97_2131,Unknown,Camellia_japonica,7,1,1
OTU97_821,Unknown,Camellia_japonica,7,1,1
OTU97_447,Unknown,Camellia_japonica,7,1,1
OTU97_1497,Unknown,Celtis_sinensis,1,1,1
OTU97_2103,Unknown,Celtis_sinensis,1,1,1
OTU97_1279,Unknown,Celtis_sinensis,1,1,1
OTU97_1177,EcM,Celtis_sinensis,1,1,1
OTU97_1401,EcM,Celtis_sinensis,1,1,1
OTU97_2115,Unknown,Celtis_sinensis,1,1,1
OTU97_1789,Unknown,Cinnamomum_camphora,4,1,16
OTU97_1947,Unknown,Cinnamomum_camphora,4,1,16
OTU97_2055,Unknown,Cinnamomum_camphora,4,1,16
OTU97_2275,Unknown,Cinnamomum_camphora,4,1,16
OTU97_559,Unknown,Cinnamomum_camphora,4,1,16
OTU97_69,Unknown,Cinnamomum_camphora,4,1,16
OTU97_1417,Unknown,Cinnamomum_camphora,4,2,16
OTU97_537,Unknown,Cinnamomum_camphora,4,1,16
OTU97_913,Unknown,Cinnamomum_camphora,4,2,16
OTU97_763,AM,Cinnamomum_camphora,4,1,16
OTU97_1279,Unknown,Cinnamomum_camphora,4,1,16
OTU97_1355,Unknown,Cinnamomum_camphora,4,1,16
OTU97_381,Unknown,Cinnamomum_camphora,4,1,16
OTU97_797,AM,Cinnamomum_camphora,4,2,16
OTU97_2227,Unknown,Cinnamomum_camphora,4,1,16
OTU97_657,Unknown,Cinnamomum_camphora,4,1,16
OTU97_293,AM,Cinnamomum_camphora,4,1,16
OTU97_71,Unknown,Cinnamomum_camphora,4,1,16
OTU97_1171,EcM,Cinnamomum_camphora,4,1,16
OTU97_1243,EcM,Cinnamomum_camphora,4,1,16
OTU97_2267,AM,Cinnamomum_camphora,4,1,16
OTU97_1195,AM,Cinnamomum_camphora,4,3,16
OTU97_1237,AM,Cinnamomum_camphora,4,1,16
OTU97_695,Unknown,Cinnamomum_camphora,4,1,16
OTU97_539,Unknown,Cinnamomum_camphora,4,2,16
OTU97_1265,Unknown,Cinnamomum_camphora,4,1,16
OTU97_2159,EcM,Cinnamomum_camphora,4,1,16
OTU97_1915,Unknown,Cinnamomum_camphora,4,2,16
OTU97_2181,Unknown,Cinnamomum_camphora,4,1,16
OTU97_1207,Unknown,Cinnamomum_camphora,4,1,16
OTU97_495,EcM,Cinnamomum_camphora,4,3,16
OTU97_1959,Unknown,Cinnamomum_camphora,4,2,16
OTU97_1177,EcM,Cinnamomum_camphora,4,2,16
OTU97_1449,Unknown,Cinnamomum_camphora,4,1,16
OTU97_447,Unknown,Cinnamomum_camphora,4,2,16
OTU97_1983,Unknown,Cinnamomum_camphora,4,2,16
OTU97_2115,Unknown,Cinnamomum_camphora,4,6,16
OTU97_1421,Unknown,Clethra_barbinervis,2,1,1
OTU97_517,Unknown,Clethra_barbinervis,2,1,1
OTU97_1389,Unknown,Clethra_barbinervis,2,1,1
OTU97_2115,Unknown,Clethra_barbinervis,2,1,1
OTU97_853,Unknown,Cleyera_japonica,2,1,1
OTU97_337,Unknown,Cleyera_japonica,2,1,1
OTU97_1915,Unknown,Cleyera_japonica,2,1,1
OTU97_517,Unknown,Cleyera_japonica,2,1,1
OTU97_1389,Unknown,Cleyera_japonica,2,1,1
OTU97_271,Unknown,Cornus_sp.,7,1,1
OTU97_939,EcM,Cornus_sp.,7,1,1
OTU97_2115,Unknown,Cornus_sp.,7,1,1
OTU97_1379,Unknown,Diospyros_kaki,1,1,1
OTU97_249,EcM,Diospyros_kaki,1,1,1
OTU97_1265,Unknown,Diospyros_kaki,1,1,1
OTU97_93,Unknown,Diospyros_kaki,1,1,1
OTU97_1239,Unknown,Dryopteris_erythrosora,7,1,8
OTU97_1895,EcM,Dryopteris_erythrosora,7,1,8
OTU97_399,Unknown,Dryopteris_erythrosora,7,1,8
OTU97_815,AM,Dryopteris_erythrosora,7,1,8
OTU97_1397,Unknown,Dryopteris_erythrosora,7,1,8
OTU97_1311,EcM,Dryopteris_erythrosora,7,1,8
OTU97_501,Unknown,Dryopteris_erythrosora,7,1,8
OTU97_767,EcM,Dryopteris_erythrosora,7,1,8
OTU97_1195,AM,Dryopteris_erythrosora,7,1,8
OTU97_1237,AM,Dryopteris_erythrosora,7,1,8
OTU97_2137,Unknown,Dryopteris_erythrosora,7,1,8
OTU97_1915,Unknown,Dryopteris_erythrosora,7,3,8
OTU97_93,Unknown,Dryopteris_erythrosora,7,1,8
OTU97_1389,Unknown,Dryopteris_erythrosora,7,1,8
OTU97_1177,EcM,Dryopteris_erythrosora,7,2,8
OTU97_651,EcM,Dryopteris_erythrosora,7,1,8
OTU97_1449,Unknown,Dryopteris_erythrosora,7,2,8
OTU97_447,Unknown,Dryopteris_erythrosora,7,1,8
OTU97_1983,Unknown,Dryopteris_erythrosora,7,3,8
OTU97_2115,Unknown,Dryopteris_erythrosora,7,2,8
OTU97_487,Unknown,Fabaceae_sp.,7,1,1
OTU97_1303,Unknown,Fabaceae_sp.,7,1,1
OTU97_2159,EcM,Fabaceae_sp.,7,1,1
OTU97_1207,Unknown,Fabaceae_sp.,7,1,1
OTU97_1389,Unknown,Fabaceae_sp.,7,1,1
OTU97_2115,Unknown,Fabaceae_sp.,7,1,1
OTU97_1301,Unknown,Gamblea_innovans,7,1,2
OTU97_941,Unknown,Gamblea_innovans,7,1,2
OTU97_1343,EcM,Gamblea_innovans,7,1,2
OTU97_539,Unknown,Gamblea_innovans,7,1,2
OTU97_1265,Unknown,Gamblea_innovans,7,1,2
OTU97_93,Unknown,Gamblea_innovans,7,1,2
OTU97_1207,Unknown,Gamblea_innovans,7,1,2
OTU97_1449,Unknown,Gamblea_innovans,7,1,2
OTU97_1983,Unknown,Gamblea_innovans,7,1,2
OTU97_2367,AM,Ilex_macropoda,7,1,11
OTU97_1353,EcM,Ilex_macropoda,7,1,11
OTU97_1027,EcM,Ilex_macropoda,7,1,11
OTU97_1431,Unknown,Ilex_macropoda,7,1,11
OTU97_1981,Unknown,Ilex_macropoda,7,1,11
OTU97_71,Unknown,Ilex_macropoda,7,1,11
OTU97_1303,Unknown,Ilex_macropoda,7,1,11
OTU97_1265,Unknown,Ilex_macropoda,7,1,11
OTU97_937,Unknown,Ilex_macropoda,7,1,11
OTU97_761,Unknown,Ilex_macropoda,7,1,11
OTU97_517,Unknown,Ilex_macropoda,7,3,11
OTU97_93,Unknown,Ilex_macropoda,7,1,11
OTU97_1959,Unknown,Ilex_macropoda,7,3,11
OTU97_1177,EcM,Ilex_macropoda,7,2,11
OTU97_447,Unknown,Ilex_macropoda,7,2,11
OTU97_1983,Unknown,Ilex_macropoda,7,1,11
